品种,日期,仓库代码,仓库名称,昨日仓单,今日注册,今日注销,今日仓单,增减
铂,20260506,205,中博世金,0,450,0,450,450
铂,20260506,208,英特派,0,1,0,1,1
铂,20260507,200,中工美上海虹桥,0,49,0,49,49
铂,20260507,201,外运华东上海虹桥,0,29,0,29,29
铂,20260507,205,中博世金,450,0,0,450,0
铂,20260507,208,英特派,1,0,0,1,0
钯,20260507,001,中储吴淞,0,10,0,10,10
铂,20260508,200,中工美上海虹桥,49,60,0,109,60
铂,20260508,201,外运华东上海虹桥,29,0,0,29,0
铂,20260508,205,中博世金,450,0,0,450,0
铂,20260508,207,贺利氏,0,10,0,10,10
铂,20260508,208,英特派,1,0,0,1,0
钯,20260508,001,中储吴淞,10,0,0,10,0
钯,20260508,201,外运华东上海虹桥,0,87,0,87,87
钯,20260508,202,深圳威豹,0,91,0,91,91
钯,20260508,207,贺利氏,0,10,0,10,10
铂,20260511,200,中工美上海虹桥,109,0,0,109,0
铂,20260511,201,外运华东上海虹桥,29,71,0,100,71
铂,20260511,202,深圳威豹,0,61,0,61,61
铂,20260511,205,中博世金,450,0,0,450,0
铂,20260511,207,贺利氏,10,0,0,10,0
铂,20260511,208,英特派,1,0,0,1,0
钯,20260511,001,中储吴淞,10,0,0,10,0
钯,20260511,200,中工美上海虹桥,0,40,0,40,40
钯,20260511,201,外运华东上海虹桥,87,128,0,215,128
钯,20260511,202,深圳威豹,91,30,0,121,30
钯,20260511,207,贺利氏,10,0,0,10,0
铂,20260512,200,中工美上海虹桥,109,124,0,233,124
铂,20260512,201,外运华东上海虹桥,100,19,0,119,19
铂,20260512,202,深圳威豹,61,0,0,61,0
铂,20260512,205,中博世金,450,150,0,600,150
铂,20260512,207,贺利氏,10,0,0,10,0
铂,20260512,208,英特派,1,0,0,1,0
铂,20260512,211,励福江门,0,2,0,2,2
钯,20260512,001,中储吴淞,10,0,0,10,0
钯,20260512,200,中工美上海虹桥,40,120,0,160,120
钯,20260512,201,外运华东上海虹桥,215,285,0,500,285
钯,20260512,202,深圳威豹,121,302,0,423,302
钯,20260512,207,贺利氏,10,0,0,10,0
钯,20260512,211,励福江门,0,5,0,5,5
铂,20260513,200,中工美上海虹桥,233,63,0,296,63
铂,20260513,201,外运华东上海虹桥,119,0,0,119,0
铂,20260513,202,深圳威豹,61,0,0,61,0
铂,20260513,204,贵研易门,0,50,0,50,50
铂,20260513,205,中博世金,600,0,0,600,0
铂,20260513,207,贺利氏,10,0,0,10,0
铂,20260513,208,英特派,1,0,0,1,0
铂,20260513,211,励福江门,2,0,0,2,0
