日期,品种,仓库类型,昨日仓单,今日注册,今日注销,今日仓单,增减
20260506,铂,厂库,0,451,0,451,451
20260507,钯,仓库,0,10,0,10,10
20260507,铂,仓库,0,78,0,78,78
20260507,铂,厂库,451,0,0,451,0
20260508,钯,仓库,10,178,0,188,178
20260508,钯,厂库,0,10,0,10,10
20260508,铂,仓库,78,60,0,138,60
20260508,铂,厂库,451,10,0,461,10
20260511,钯,仓库,188,198,0,386,198
20260511,钯,厂库,10,0,0,10,0
20260511,铂,仓库,138,132,0,270,132
20260511,铂,厂库,461,0,0,461,0
20260512,钯,仓库,386,707,0,1093,707
20260512,钯,厂库,10,5,0,15,5
20260512,铂,仓库,270,143,0,413,143
20260512,铂,厂库,461,152,0,613,152
20260513,钯,仓库,1093,461,0,1554,461
20260513,钯,厂库,15,50,0,65,50
20260513,铂,仓库,413,63,0,476,63
20260513,铂,厂库,613,50,0,663,50
20260514,钯,仓库,1554,99,0,1653,99
20260514,钯,厂库,65,0,0,65,0
20260514,铂,仓库,476,20,0,496,20
20260514,铂,厂库,663,500,0,1163,500
20260515,钯,仓库,1653,422,0,2075,422
20260515,钯,厂库,65,0,0,65,0
20260515,铂,仓库,496,96,0,592,96
20260515,铂,厂库,1163,0,0,1163,0
20260518,钯,仓库,2075,422,0,2497,422
20260518,钯,厂库,65,0,0,65,0
20260518,铂,仓库,592,176,0,768,176
20260518,铂,厂库,1163,50,0,1213,50
20260519,钯,仓库,2497,284,0,2781,284
20260519,钯,厂库,65,0,0,65,0
20260519,铂,仓库,768,202,0,970,202
20260519,铂,厂库,1213,0,0,1213,0
20260520,钯,仓库,2781,91,0,2872,91
20260520,钯,厂库,65,0,0,65,0
20260520,铂,仓库,970,202,0,1172,202
20260520,铂,厂库,1213,50,0,1263,50
20260521,钯,仓库,2872,65,0,2937,65
20260521,钯,厂库,65,0,0,65,0
20260521,铂,仓库,1172,37,0,1209,37
20260521,铂,厂库,1263,0,0,1263,0
20260522,钯,仓库,2937,91,0,3028,91
20260522,钯,厂库,65,0,0,65,0
20260522,铂,仓库,1209,84,0,1293,84
20260522,铂,厂库,1263,0,0,1263,0
20260525,钯,仓库,3028,677,0,3705,677
20260525,钯,厂库,65,85,0,150,85
20260525,铂,仓库,1293,81,0,1374,81
20260525,铂,厂库,1263,70,0,1333,70
20260526,钯,仓库,3705,335,0,4040,335
20260526,钯,厂库,150,0,0,150,0
20260526,铂,仓库,1374,60,0,1434,60
20260526,铂,厂库,1333,777,0,2110,777
20260527,钯,仓库,4040,233,0,4273,233
20260527,钯,厂库,150,0,0,150,0
20260527,铂,仓库,1434,332,0,1766,332
20260527,铂,厂库,2110,0,0,2110,0
20260528,钯,仓库,4273,319,1,4591,318
20260528,钯,厂库,150,140,0,290,140
20260528,铂,仓库,1766,100,16,1850,84
20260528,铂,厂库,2110,40,0,2150,40
20260529,钯,仓库,4591,1,0,4592,1
20260529,钯,厂库,290,0,0,290,0
