月份,进口数量(吨),转口数量(吨),出口总额数量(吨),进口货值(千港元),转口货值(千港元),出口总额货值(千港元),进口货值(亿美元),出口总额货值(亿美元),净流入数量(吨),净流入货值(千港元),进口隐含单价(美元/kg),出口隐含单价(美元/kg)
201201,183.9,363.0,372.3,1013788,2086099,2121329,0.13,0.27,-188.3,-1107541,706.63,730.58
201202,156.9,301.5,327.3,709110,1905477,2095898,0.09,0.27,-170.3,-1386788,579.29,821.07
201203,207.3,210.1,226.1,1085852,1281159,1384858,0.14,0.18,-18.8,-299006,671.50,785.10
201204,147.8,500.8,525.2,891277,3798066,3936865,0.11,0.50,-377.4,-3045588,772.99,961.01
201205,178.0,335.1,365.6,1018395,2250591,2453977,0.13,0.31,-187.6,-1435582,733.66,860.60
201206,114.6,335.2,365.2,501377,2327454,2536345,0.06,0.33,-250.6,-2034968,560.80,890.28
201207,146.0,184.2,211.2,587566,1164697,1285701,0.08,0.16,-65.2,-698135,515.89,780.57
201208,93.1,261.7,280.9,370271,1669940,1768569,0.05,0.23,-187.8,-1398298,509.78,807.09
201209,178.9,270.5,304.2,739639,1877489,2138811,0.09,0.27,-125.3,-1399172,529.97,901.46
201210,173.9,224.2,245.4,725407,1657084,1810724,0.09,0.23,-71.5,-1085317,534.68,945.79
201211,153.2,201.3,235.8,586415,1346686,1572887,0.08,0.20,-82.6,-986472,490.79,855.26
201212,205.7,466.5,511.2,1041401,3541123,3870134,0.13,0.50,-305.5,-2828733,649.13,970.57
201301,98.2,327.2,348.0,373358,2385356,2496799,0.05,0.32,-249.9,-2123441,487.54,919.72
201302,140.0,213.0,229.3,658735,1460452,1546297,0.08,0.20,-89.2,-887562,603.03,864.65
201303,123.0,193.2,210.6,581091,1307090,1378193,0.07,0.18,-87.5,-797102,605.50,839.08
201304,104.4,227.3,250.9,181518,1515638,1567030,0.02,0.20,-146.6,-1385512,223.01,800.60
201305,155.7,215.1,229.2,681842,1289526,1328871,0.09,0.17,-73.5,-647029,561.60,743.44
201306,115.6,210.7,228.7,368034,1243690,1311788,0.05,0.17,-113.0,-943754,408.01,735.52
201307,124.0,168.7,199.3,386626,794116,895293,0.05,0.11,-75.3,-508667,399.65,575.83
201308,136.7,234.8,253.4,421247,1369272,1442000,0.05,0.18,-116.6,-1020753,395.03,729.70
201309,231.9,163.1,180.9,941825,828339,871530,0.12,0.11,+51.0,70295,520.77,617.80
201310,153.1,273.4,286.2,451514,1490664,1521298,0.06,0.20,-133.0,-1069784,377.98,681.54
201311,124.4,369.8,385.0,326921,2046825,2076509,0.04,0.27,-260.7,-1749588,337.03,691.39
201312,342.9,688.1,703.7,1814842,3562908,3616044,0.23,0.46,-360.7,-1801202,678.47,658.81
201401,159.4,397.2,437.6,665295,1907344,2084896,0.09,0.27,-278.2,-1419601,535.20,610.86
201402,91.2,98.2,162.0,182926,447725,717257,0.02,0.09,-70.8,-534331,257.19,567.54
201403,132.8,531.0,628.1,431874,2655106,3143049,0.06,0.40,-495.3,-2711175,416.96,641.59
201404,201.2,432.2,491.2,831523,2059549,2294598,0.11,0.29,-290.0,-1463075,529.81,598.91
201405,210.9,464.9,510.8,910468,2245007,2459097,0.12,0.32,-299.9,-1548629,553.42,617.20
201406,169.2,507.2,568.1,636080,2462757,2702076,0.08,0.35,-398.9,-2065996,481.93,609.74
201407,248.3,311.1,398.1,928702,1510389,1886619,0.12,0.24,-149.8,-957917,479.60,607.61
201408,77.1,594.2,668.2,104551,2844902,3197643,0.01,0.41,-591.1,-3093092,173.93,613.52
201409,167.9,291.3,315.4,537709,1330069,1385916,0.07,0.18,-147.5,-848207,410.57,563.38
201410,85.9,189.1,200.1,171245,822917,853344,0.02,0.11,-114.2,-682099,255.65,546.76
201411,211.7,232.2,249.0,923283,1017444,1043728,0.12,0.13,-37.4,-120445,559.24,537.31
201412,151.6,301.9,320.5,526782,1173861,1206868,0.07,0.15,-168.9,-680086,445.56,482.77
201501,96.2,295.9,302.7,190703,1222927,1252006,0.02,0.16,-206.5,-1061303,254.24,530.28
201502,105.4,236.1,238.4,311893,978257,989193,0.04,0.13,-133.0,-677300,379.46,531.97
201503,103.6,228.0,234.4,209626,862327,882407,0.03,0.11,-130.8,-672781,259.38,482.71
201504,78.9,160.5,169.5,133487,615773,636249,0.02,0.08,-90.7,-502762,216.94,481.12
201505,83.7,177.4,191.6,227270,699519,757102,0.03,0.10,-108.0,-529832,348.30,506.55
201506,159.7,186.1,194.7,454357,666249,683333,0.06,0.09,-35.0,-228976,364.78,449.89
201507,215.6,396.2,408.7,666515,1536234,1568856,0.09,0.20,-193.0,-902341,396.28,492.17
201508,148.6,170.6,188.7,398062,547794,571300,0.05,0.07,-40.1,-173238,343.35,388.16
201509,119.6,145.2,166.4,199340,446377,511809,0.03,0.07,-46.8,-312469,213.72,394.37
201510,146.3,150.3,161.6,343476,498101,526334,0.04,0.07,-15.3,-182858,301.02,417.52
201511,197.0,181.7,202.6,496741,581834,645697,0.06,0.08,-5.6,-148956,323.30,408.67
201512,126.2,219.5,281.6,289061,751696,956358,0.04,0.12,-155.4,-667297,293.63,435.42
201601,159.5,169.9,178.0,383785,533184,555702,0.05,0.07,-18.5,-171917,308.58,400.32
201602,99.1,191.4,204.4,202999,605357,642326,0.03,0.08,-105.4,-439327,262.72,402.85
201603,144.3,170.8,182.8,412011,595848,634488,0.05,0.08,-38.5,-222477,366.09,444.91
201604,196.5,180.3,190.3,553232,623380,661679,0.07,0.08,+6.2,-108447,361.03,445.80
201605,103.6,161.0,176.7,174885,593719,650529,0.02,0.08,-73.1,-475644,216.49,471.97
201606,193.0,219.6,233.2,600865,814438,867602,0.08,0.11,-40.2,-266737,399.08,477.00
201607,83.0,175.8,201.7,123293,789792,876661,0.02,0.11,-118.7,-753368,190.54,557.26
201608,70.2,334.4,364.2,63273,1524282,1653753,0.01,0.21,-294.0,-1590480,115.50,582.08
201609,118.2,188.4,209.2,246862,793387,889525,0.03,0.11,-91.0,-642663,267.80,545.20
201610,76.1,302.7,335.3,138637,1305851,1448158,0.02,0.19,-259.2,-1309521,233.62,553.76
201611,161.3,408.3,448.0,437388,1753658,1921499,0.06,0.25,-286.8,-1484111,347.71,549.82
201612,104.5,227.5,240.9,203301,925355,981039,0.03,0.13,-136.4,-777738,249.32,522.03
201701,106.5,478.5,525.0,298984,2048106,2232499,0.04,0.29,-418.6,-1933515,360.03,545.14
201702,89.2,177.2,194.5,120806,723042,800525,0.02,0.10,-105.3,-679719,173.65,527.78
201703,111.7,682.8,704.5,208165,2940594,3034112,0.03,0.39,-592.8,-2825947,238.97,552.13
201704,125.2,541.6,577.6,254573,2363538,2509272,0.03,0.32,-452.4,-2254699,260.70,556.95
201705,99.1,592.3,645.7,201072,2497028,2719969,0.03,0.35,-546.5,-2518897,260.08,540.08
201706,267.9,328.1,412.2,945654,1388814,1730622,0.12,0.22,-144.3,-784968,452.57,538.22
201707,289.5,461.8,542.1,1021522,1879538,2214133,0.13,0.28,-252.5,-1192611,452.36,523.68
201708,81.1,319.0,385.8,51130,1293950,1571768,0.01,0.20,-304.8,-1520638,80.87,522.26
201709,378.0,362.7,391.1,1369064,1545754,1695955,0.18,0.22,-13.1,-326891,464.31,555.98
201710,245.9,553.7,625.2,834971,2348440,2641216,0.11,0.34,-379.3,-1806245,435.30,541.58
201711,162.3,451.6,486.0,400891,1861085,2003890,0.05,0.26,-323.7,-1602999,316.72,528.62
201712,381.7,266.5,292.3,1422580,1049602,1156603,0.18,0.15,+89.4,265977,477.83,507.32
201801,254.6,389.6,406.4,832676,1608412,1681328,0.11,0.22,-151.8,-848652,419.29,530.40
