month,imports_kg,exports_kg,net_import_kg,imports_tonnes,exports_tonnes,net_import_tonnes,source,import_source_url,export_source_url,fetched_at
2018-01,322657,1962,320695,322.657,1.962,320.695,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2018-02,562000,1895,560105,562.000,1.895,560.105,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2018-03,495618,4014,491604,495.618,4.014,491.604,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2018-04,902577,2374,900203,902.577,2.374,900.203,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2018-05,842226,3430,838796,842.226,3.430,838.796,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2018-06,684118,2827,681291,684.118,2.827,681.291,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2018-07,305273,2175,303098,305.273,2.175,303.098,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2018-08,316386,2849,313537,316.386,2.849,313.537,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2018-09,634004,3704,630300,634.004,3.704,630.300,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
2018-10,916660,2060,914600,916.660,2.060,914.600,India Department of Commerce TradeStat / DGCI&S · HS7106,https://tradestat.commerce.gov.in/meidb/commoditywise_import,https://tradestat.commerce.gov.in/meidb/commoditywise_export,2026-07-24T17:18:41+08:00
