date,open,high,low,close,change,change_pct,avg_price,volume_kg,turnover_yuan,open_interest
2026-01-05,17850.00,18338.00,17850.00,18319.00,537,3.02%,18199.00,657430,11964992508,2941532
2026-01-06,18180.00,19700.00,18105.00,19495.00,1296,7.12%,19243.00,876640,16869526732,2993510
2026-01-07,19465.00,20209.00,19051.00,19365.00,122,0.63%,19537.00,823590,16091214266,3033278
2026-01-08,19206.00,19420.00,18330.00,18338.00,-1199,-6.14%,19081.00,2833448,54067450752,3071944
2026-01-09,18245.00,18872.00,17830.00,18759.00,-322,-1.69%,18560.00,308312,5722377550,3061282
2026-01-12,18920.00,20997.00,18760.00,20902.00,2342,12.62%,20310.00,411208,8351706350,3042480
2026-01-13,20650.00,21480.00,20650.00,21048.00,738,3.63%,21060.00,700304,14748410218,3081116
2026-01-14,21125.00,23089.00,21125.00,22765.00,1705,8.10%,22343.00,812282,18149451994,3079974
2026-01-15,22749.00,23665.00,21600.00,22684.00,341,1.53%,22604.00,657202,14855842336,3125288
2026-01-16,22900.00,23110.00,22040.00,22641.00,37,0.16%,22707.00,538580,12229764738,3156550
2026-01-19,22702.00,23535.00,21525.00,23136.00,429,1.89%,22706.00,462472,10501265914,3144664
2026-01-20,23100.00,23574.00,22831.00,23149.00,443,1.95%,23135.00,428876,9922066288,3176742
2026-01-21,23598.00,23700.00,22760.00,23228.00,93,0.40%,23052.00,422976,9750458776,3188754
2026-01-22,23220.00,23404.00,22500.00,23366.00,314,1.36%,23038.00,417564,9620051184,3201484
2026-01-23,23203.00,25080.00,23120.00,24988.00,1950,8.46%,24673.00,436090,10759759550,3292636
2026-01-26,24888.00,27766.00,24888.00,27513.00,2840,11.51%,26956.00,702202,18928942760,3360232
2026-01-27,27800.00,30091.00,27311.00,28732.00,1776,6.59%,28195.00,627160,17682870644,3346130
2026-01-28,28881.00,29600.00,27195.00,29310.00,1115,3.95%,29019.00,609036,17673958256,3335610
2026-01-29,29018.00,30280.00,28750.00,29998.00,979,3.37%,29797.00,687950,20499319100,3275288
2026-01-30,30179.00,31000.00,27151.00,27530.00,-2267,-7.61%,28914.00,531280,15361612382,3240738
2026-02-02,26671.00,26780.00,23420.00,23420.00,-5494,-19.00%,25104.00,211926,5320291684,3228388
2026-02-03,21122.00,21850.00,19500.00,21600.00,-3504,-13.96%,20915.00,686290,14354011602,3130860
2026-02-04,21550.00,23561.00,21550.00,23560.00,2645,12.65%,22443.00,523996,11760231640,3167552
2026-02-05,23493.00,23968.00,18000.00,19885.00,-2558,-11.40%,20538.00,790380,16233570170,3220842
2026-02-06,19700.00,19700.00,17000.00,18197.00,-2341,-11.40%,18129.00,786230,14253845726,3334864
2026-02-09,18500.00,20100.00,17829.00,19503.00,1374,7.58%,19173.00,327768,6284411260,3259846
2026-02-10,19260.00,19720.00,18986.00,19268.00,95,0.50%,19300.00,288342,5565215168,3215594
2026-02-11,19370.00,20000.00,19195.00,19899.00,599,3.10%,19609.00,232512,4559373100,3188668
2026-02-12,20559.00,20600.00,19400.00,19670.00,61,0.31%,19919.00,220352,4389327604,3143492
