品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2606	1	兴证期货	1613.0	147.0	银河期货	1650.0	-15.0	中信期货	2542.0	-76.0	0148	0272	0311
AG	白银	ag2606	2	国泰君安	1400.0	-7730.0	国泰君安	1396.0	-104.0	五矿期货	1046.0	-8.0	0009	0004	0004
AG	白银	ag2606	3	国贸期货	1370.0	-1045.0	中信期货	1156.0	-95.0	金瑞期货	1016.0	-202.0	0049	0148	0058
AG	白银	ag2606	4	中信期货	1119.0	-12481.0	国投期货	828.0	-2.0	东证期货	976.0	10.0	0163	0082	0148
AG	白银	ag2606	5	中辉期货	964.0	327.0	平安期货	820.0	-29.0	中粮期货	962.0	0.0	0139	0288	0274
AG	白银	ag2606	6	东证期货	693.0	-2156.0	齐盛期货	792.0	-190.0	国投期货	630.0	-8.0	0082	0001	0163
AG	白银	ag2606	7	华泰期货	566.0	-7353.0	一德期货	730.0	-1.0	南华期货	594.0	0.0	0096	0277	0253
AG	白银	ag2606	8	中泰期货	543.0	-8155.0	方正中期	604.0	-45.0	方正中期	548.0	-35.0	0034	0034	0275
AG	白银	ag2606	9	华闻期货	472.0	-277.0	中信建投	530.0	-75.0	瑞达期货	478.0	0.0	0059	0268	0259
AG	白银	ag2606	10	齐盛期货	390.0	-775.0	东海期货	488.0	-16.0	长江期货	420.0	58.0	0048	0007	0001
AG	白银	ag2606	11	广发期货	388.0	-4527.0	东方财富	392.0	-40.0	银河期货	350.0	-64.0	0272	0298	0240
AG	白银	ag2606	12	长江期货	373.0	-618.0	广发期货	388.0	-90.0	平安期货	322.0	-12.0	0288	0240	0048
AG	白银	ag2606	13	瑞达期货	366.0	-639.0	光大期货	382.0	-30.0	广发期货	302.0	-26.0	0240	0042	0059
AG	白银	ag2606	14	中信建投	327.0	-1253.0	东证期货	348.0	-71.0	国泰君安	280.0	4.0	0004	0163	0268
AG	白银	ag2606	15	渤海期货	300.0	-222.0	金瑞期货	318.0	-4.0	新湖期货	262.0	-24.0	0077	0049	0271
AG	白银	ag2606	16	徽商期货	267.0	-646.0	南华期货	278.0	-28.0	格林大华	246.0	0.0	0121	0096	0186
AG	白银	ag2606	17	国金期货	266.0	-341.0	华泰期货	272.0	-138.0	紫金天风	192.0	-54.0	0321	0253	0095
AG	白银	ag2606	18	银河期货	263.0	-7835.0	山金期货	244.0	-37.0	国元期货	138.0	-14.0	0043	0052	0272
AG	白银	ag2606	19	方正中期	256.0	-2296.0	招商期货	238.0	-8.0	华泰期货	102.0	-48.0	0253	0161	0034
