品种代码	品种名称	合约代码	名次	成交量会员简称	成交量	成交量比上交易日增减	持买单量会员简称	持买单量	持买单量比上交易日增减	持卖单量会员简称	持卖单量	持卖单量比上交易日增减	PARTICIPANTID3	PARTICIPANTID2	PARTICIPANTID1
AG	白银	ag2607	1	国泰君安	36.0	8.0	华安期货	900.0	0.0	中信期货	900.0	0.0	0148	0299	0004
AG	白银	ag2607	2	兴业期货	20.0	20.0	国泰君安	594.0	4.0	格林大华	256.0	0.0	0121	0004	0169
AG	白银	ag2607	3	华金期货	16.0	16.0	中信期货	304.0	0.0	广发期货	164.0	0.0	0240	0148	0051
AG	白银	ag2607	4	浙商期货	10.0	0.0	国信期货	222.0	0.0	方正中期	140.0	0.0	0034	0308	0123
AG	白银	ag2607	5	招商期货	8.0	8.0	中粮期货	184.0	0.0	国泰君安	60.0	0.0	0004	0139	0161
AG	白银	ag2607	6	国新国证	8.0	8.0	东海期货	146.0	0.0	新湖期货	32.0	0.0	0077	0007	0269
AG	白银	ag2607	7	东证期货	6.0	2.0	紫金天风	124.0	0.0	银河期货	28.0	0.0	0272	0321	0163
AG	白银	ag2607	8	方正中期	4.0	-12.0	华泰期货	94.0	0.0	上海中期	2.0	0.0	0008	0253	0034
AG	白银	ag2607	9	申万期货	4.0	-10.0	申万期货	72.0	4.0	东证期货	2.0	0.0	0163	0069	0069
AG	白银	ag2607	10	创元期货	4.0	4.0	中财期货	62.0	0.0					0067	0151
AG	白银	ag2607	11	兴证期货	4.0	4.0	海证期货	54.0	0.0					0153	0311
AG	白银	ag2607	12	中原期货	4.0	4.0	中原期货	40.0	-4.0					0327	0327
AG	白银	ag2607	13	国贸期货	2.0	2.0	一德期货	30.0	0.0					0277	0058
AG	白银	ag2607	14	大有期货	2.0	2.0	招商期货	24.0	-8.0					0161	0320
AG	白银	ag2607	15				建信期货	22.0	0.0					0003	
AG	白银	ag2607	16				中信建投	20.0	0.0					0268	
AG	白银	ag2607	17				上海中期	16.0	0.0					0008	
AG	白银	ag2607	18				中融汇信	10.0	0.0					0013	
AG	白银	ag2607	19				广发期货	6.0	0.0					0240	
AG	白银	ag2607	20				方正中期	4.0	-4.0					0034	
AG	白银	ag2607	999		128.0	56.0		2928.0	-8.0		1584.0	0.0			
AG	白银	ag2608	1	国泰君安	148046.0	-1145.0	国泰君安	15653.0	837.0	中信期货	18319.0	-65.0	0148	0004	0004
AG	白银	ag2608	2	中信期货	87377.0	-8264.0	中信期货	14036.0	-82.0	国泰君安	12289.0	-444.0	0004	0148	0148
AG	白银	ag2608	3	广发期货	47199.0	-48.0	银河期货	10976.0	-49.0	宏源期货	7704.0	4.0	0137	0272	0240
AG	白银	ag2608	4	东证期货	46121.0	-5852.0	平安期货	9008.0	-516.0	华泰期货	7606.0	233.0	0253	0288	0163
AG	白银	ag2608	5	华泰期货	44592.0	-2903.0	东证期货	8951.0	-286.0	银河期货	7121.0	220.0	0272	0163	0253
AG	白银	ag2608	6	银河期货	33553.0	-6053.0	方正中期	7197.0	23.0	东证期货	6880.0	-118.0	0163	0034	0272
AG	白银	ag2608	7	国信期货	32640.0	2609.0	国投期货	6532.0	-191.0	金瑞期货	6573.0	-884.0	0049	0082	0308
AG	白银	ag2608	8	中泰期货	31114.0	-5262.0	中信建投	5243.0	252.0	华鑫期货	5625.0	36.0	0006	0268	0275
AG	白银	ag2608	9	中信建投	23720.0	523.0	永安期货	5038.0	-53.0	广发期货	4769.0	321.0	0240	0103	0268
AG	白银	ag2608	10	方正中期	23338.0	2062.0	华泰期货	4916.0	-117.0	永安期货	3499.0	-36.0	0103	0253	0034
AG	白银	ag2608	11	海通期货	19630.0	-3041.0	广发期货	4675.0	-185.0	云晨期货	2947.0	7.0	0315	0240	0081
AG	白银	ag2608	12	东方财富	19031.0	-1367.0	光大期货	3705.0	-202.0	中粮期货	2926.0	-170.0	0139	0042	0298
