DATE,INSTRUMENTID,RANK,PARTICIPANTABBR1,CJ1,CJ1_CHG,PARTICIPANTABBR2,CJ2,CJ2_CHG,PARTICIPANTABBR3,CJ3,CJ3_CHG,PRODUCTNAME
20260311,agall,-1,期货公司会员/境外特殊经纪参与者,1407259,-349146,期货公司会员/境外特殊经纪参与者,451249,-5655,期货公司会员/境外特殊经纪参与者,373508,-6668,白银
20260311,agall,0,非期货公司会员/境外特殊非经纪参与者,10705,1188,非期货公司会员/境外特殊非经纪参与者,37894,1962,非期货公司会员/境外特殊非经纪参与者,115635,2975,白银
20260311,ag2603,1,银河期货  ,208,-40,华安期货  ,900,70,建信期货  ,276,0,白银
20260311,ag2603,2,中信期货  ,156,150,中信期货  ,674,-68,格林大华  ,220,0,白银
20260311,ag2603,3,方正中期  ,126,68,广发期货  ,178,0,金瑞期货  ,210,0,白银
20260311,ag2603,4,华安期货  ,70,70,东证期货  ,158,0,华安期货  ,132,0,白银
20260311,ag2603,5,国信期货  ,58,-6,光大期货  ,144,0,东证期货  ,98,0,白银
20260311,ag2603,6,国投期货  ,28,28,中信建投  ,140,0,瑞达期货  ,78,0,白银
20260311,ag2603,7,创元期货  ,20,20,上海中期  ,130,-10,中粮期货  ,72,0,白银
20260311,ag2603,8,招商期货  ,20,12,国元期货  ,116,-2,五矿期货  ,52,0,白银
20260311,ag2603,9,五矿期货  ,14,8,新湖期货  ,98,-8,方正中期  ,38,-82,白银
20260311,ag2603,10,浙商期货  ,12,12,创元期货  ,68,20,国投期货  ,26,26,白银
20260311,ag2603,11,上海中期  ,10,0,铜冠金源  ,64,0,中信期货  ,20,16,白银
20260311,ag2603,12,国新国证  ,10,-2,方正中期  ,64,0,中财期货  ,10,-4,白银
20260311,ag2603,13,新湖期货  ,8,8,银河期货  ,62,-92,物产中大  ,10,0,白银
20260311,ag2603,14,平安期货  ,8,4,南华期货  ,40,0,山金期货  ,8,2,白银
20260311,ag2603,15,兴证期货  ,8,8,国海良时  ,26,0,红塔期货  ,4,4,白银
20260311,ag2603,16,国泰君安  ,4,-32,瑞奇期货  ,24,0,,,,白银
20260311,ag2603,17,中财期货  ,4,4,紫金天风  ,22,0,,,,白银
20260311,ag2603,18,兴业期货  ,4,4,长江期货  ,20,0,,,,白银
20260311,ag2603,19,红塔期货  ,4,4,中原期货  ,20,0,,,,白银
20260311,ag2603,20,中银期货  ,4,-62,东亚期货  ,18,-2,,,,白银
20260311,ag2603,999,,776,258,,2966,-92,,1254,-38,白银
20260311,ag2604,1,中信期货  ,24067,-11556,中信期货  ,8884,-1154,中信期货  ,13355,-1163,白银
20260311,ag2604,2,国泰君安  ,22955,-16264,国泰君安  ,6704,-1273,金瑞期货  ,7071,-478,白银
20260311,ag2604,3,华泰期货  ,12141,-749,国投期货  ,4311,-193,国泰君安  ,5406,-1428,白银
20260311,ag2604,4,海通期货  ,9497,-2420,银河期货  ,3713,-80,银河期货  ,5316,652,白银
20260311,ag2604,5,中泰期货  ,8925,-3137,中信建投  ,3696,19,中粮期货  ,4040,204,白银
20260311,ag2604,6,东证期货  ,8474,-6342,方正中期  ,3465,-68,东证期货  ,3560,-635,白银
20260311,ag2604,7,浙商期货  ,6806,-177,东证期货  ,3389,-36,华泰期货  ,3451,-711,白银
20260311,ag2604,8,银河期货  ,6538,-2125,华泰期货  ,3176,-498,国投期货  ,2719,1090,白银
20260311,ag2604,9,国信期货  ,6460,-4158,平安期货  ,2235,-88,五矿期货  ,2664,-326,白银
20260311,ag2604,10,广发期货  ,5524,-5179,广发期货  ,1970,-157,齐盛期货  ,2579,2,白银
20260311,ag2604,11,平安期货  ,4771,-1561,东吴期货  ,1960,-178,云晨期货  ,2575,-232,白银
20260311,ag2604,12,国投期货  ,3875,-31,民生期货  ,1920,-22,平安期货  ,2023,-287,白银
20260311,ag2604,13,中信建投  ,3783,-2797,申万期货  ,1785,-185,方正中期  ,1852,-151,白银
20260311,ag2604,14,华闻期货  ,3771,-2207,光大期货  ,1779,-13,中信建投  ,1566,-173,白银
20260311,ag2604,15,东方财富  ,3760,-2797,东方财富  ,1704,135,光大期货  ,1547,-96,白银
20260311,ag2604,16,国元期货  ,2967,-2593,新湖期货  ,1688,-309,广发期货  ,1368,-95,白银
20260311,ag2604,17,方正中期  ,2963,-3151,东海期货  ,1684,-78,创元期货  ,1047,9,白银
20260311,ag2604,18,金瑞期货  ,2671,162,国信期货  ,1522,-100,海通期货  ,982,-461,白银
20260311,ag2604,19,南华期货  ,2468,-658,金瑞期货  ,1424,-83,新湖期货  ,886,119,白银
20260311,ag2604,20,招商期货  ,2397,-491,中辉期货  ,1336,-11,中泰期货  ,853,-415,白银
20260311,ag2604,999,,144813,-68231,,58345,-4372,,64860,-4575,白银
