period_type,period,flow,import_tonnes,export_tonnes,net_import_tonnes,source,notes,confidence,series
month,2016-01,both,161.613,311.487,-149.874,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2016-02,both,272.953,199.137,73.816,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2016-03,both,256.819,160.577,96.242,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2016-04,both,320.747,114.65,206.097,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2016-05,both,129.928,136.077,-6.149,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2016-06,both,390.776,37.726,353.05,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2016-07,both,450.726,130.95,319.776,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2016-08,both,308.381,138.57,169.811,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2016-09,both,415.802,10.421,405.381,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2016-10,both,374.902,54.089,320.813,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2016-11,both,355.216,21.111,334.105,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2016-12,both,451.775,43.857,407.918,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2017-01,both,377.031,56.534,320.497,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2017-02,both,278.757,42.301,236.456,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2017-03,both,463.538,35.413,428.125,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2017-04,both,315.679,61.097,254.582,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2017-05,both,794.084,182.168,611.916,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2017-06,both,467.382,36.62,430.762,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2017-07,both,266.495,139.126,127.369,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2017-08,both,424.909,338.725,86.184,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2017-09,both,229.332,118.697,110.635,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2017-10,both,384.281,78.157,306.124,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2017-11,both,214.297,22.13,192.167,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2017-12,both,343.593,229.389,114.204,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2018-01,both,288.723,165.346,123.377,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2018-02,both,198.959,504.779,-305.82,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2018-03,both,288.246,583.99,-295.744,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2018-04,both,158.435,285.303,-126.868,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
month,2018-05,both,350.222,52.949,297.273,HMRC UK Trade Info bulk data archive (BDS) HS71069100,CN8 71069100 unwrought silver; net mass kg -> tonnes,high,hmrc_bds_hs71069100
