period,flow,code,description,unit,quantity_mo_reported,quantity_ytd_reported,quantity_mo_grams,quantity_ytd_grams,value_mo_usd,value_ytd_usd,source_url,quantity_suppressed
1989-01,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,255604467,255604467,255604467,255604467,,,https://dataweb.usitc.gov/,False
1989-01,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,59461208,59461208,59461208,59461208,,,https://dataweb.usitc.gov/,False
1989-02,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,375945767,631550234,375945767,631550234,,,https://dataweb.usitc.gov/,False
1989-02,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,36062115,95523323,36062115,95523323,,,https://dataweb.usitc.gov/,False
1989-03,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,361247176,992797410,361247176,992797410,,,https://dataweb.usitc.gov/,False
1989-03,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,52377421,147900744,52377421,147900744,,,https://dataweb.usitc.gov/,False
1989-04,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,342848910,1335646320,342848910,1335646320,,,https://dataweb.usitc.gov/,False
1989-04,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,83843913,231744657,83843913,231744657,,,https://dataweb.usitc.gov/,False
1989-05,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,226242299,1561888619,226242299,1561888619,,,https://dataweb.usitc.gov/,False
1989-05,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,21522066,253266723,21522066,253266723,,,https://dataweb.usitc.gov/,False
1989-06,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,166729835,1728618454,166729835,1728618454,,,https://dataweb.usitc.gov/,False
1989-06,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,31943449,285210172,31943449,285210172,,,https://dataweb.usitc.gov/,False
1989-07,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,137124340,1865742794,137124340,1865742794,,,https://dataweb.usitc.gov/,False
1989-07,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,63173362,348383534,63173362,348383534,,,https://dataweb.usitc.gov/,False
1989-08,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,246323436,2112066230,246323436,2112066230,,,https://dataweb.usitc.gov/,False
1989-08,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,65582063,413965597,65582063,413965597,,,https://dataweb.usitc.gov/,False
1989-09,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,157179261,2269245491,157179261,2269245491,,,https://dataweb.usitc.gov/,False
1989-09,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,47049333,461014930,47049333,461014930,,,https://dataweb.usitc.gov/,False
1989-10,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,407118474,2676363965,407118474,2676363965,,,https://dataweb.usitc.gov/,False
1989-10,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,89667432,550682362,89667432,550682362,,,https://dataweb.usitc.gov/,False
1989-11,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,197228074,2873592039,197228074,2873592039,,,https://dataweb.usitc.gov/,False
1989-11,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,99598616,650280978,99598616,650280978,,,https://dataweb.usitc.gov/,False
1989-12,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,242399236,3115991275,242399236,3115991275,,,https://dataweb.usitc.gov/,False
1989-12,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,57899324,708180302,57899324,708180302,,,https://dataweb.usitc.gov/,False
1990-01,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,174238557,174238557,174238557,174238557,,,https://dataweb.usitc.gov/,False
1990-01,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,40224567,40224567,40224567,40224567,,,https://dataweb.usitc.gov/,False
1990-02,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,227535094,401773651,227535094,401773651,,,https://dataweb.usitc.gov/,False
1990-02,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,57092861,97317428,57092861,97317428,,,https://dataweb.usitc.gov/,False
