period_type,period,flow,import_tonnes,export_tonnes,net_import_tonnes,source,notes,confidence,series
calendar_year,1989,both,3115.991275,708.180302,2407.810973,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,1990,both,2764.733109,922.921133,1841.811976,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,1991,both,2686.676191,1518.477154,1168.199037,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,1992,both,3218.351772,1426.970101,1791.381671,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,1993,both,2559.042864,1314.056398,1244.986466,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,1994,both,2564.273205,1502.408994,1061.864211,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,1995,both,3172.687709,3726.812706,-554.124997,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,1996,both,3015.763584,3534.062374,-518.29879,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,1997,both,2702.919112,4064.444969,-1361.525857,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,1998,both,3630.511274,3042.817361,587.693913,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,1999,both,3512.111855,1071.939156,2440.172699,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2000,both,4593.103955,946.407286,3646.696669,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2001,both,3570.797152,1233.861447,2336.935705,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2002,both,4674.126991,1384.836434,3289.290557,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2003,both,4906.189493,1020.865887,3885.323606,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2004,both,4510.231824,1493.619,3016.612824,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2005,both,5052.038247,1480.655892,3571.382355,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2006,both,5412.319041,3867.579709,1544.739332,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2007,both,5888.462784,3003.108766,2885.354018,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2008,both,5796.932601,2259.377119,3537.555482,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2009,both,4825.091975,1860.487523,2964.604452,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2010,both,7907.766605,2778.442287,5129.324318,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2011,both,8347.143006,3382.645536,4964.49747,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2012,both,6684.874237,2794.273613,3890.600624,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2013,both,7890.934521,2041.338844,5849.595677,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2014,both,7386.951873,1807.081392,5579.870481,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2015,both,7368.905975,1911.067278,5457.838697,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2016,both,7768.638392,2150.711373,5617.927019,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2017,both,6525.102235,1735.09104,4790.011195,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2018,both,6303.798157,2319.444985,3984.353172,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2019,both,6051.561093,1742.419121,4309.141972,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2020,both,8938.601219,2652.94919,6285.652029,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2021,both,8215.394477,3247.124705,4968.269772,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2022,both,7382.301383,2337.501233,5044.80015,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2023,both,7794.369909,1726.245995,6068.123914,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
calendar_year,2024,both,5811.969599,1470.075688,4341.893911,USITC DataWeb · official U.S. Census trade statistics,General imports; total exports; GM + CGM -> tonnes,high,us_dataweb_census_hs7106
