period,import_tonnes,domestic_export_tonnes,reexport_tonnes,export_tonnes,net_import_tonnes,import_value_usd,export_value_usd,ytd_import_tonnes,ytd_domestic_export_tonnes,ytd_reexport_tonnes,ytd_export_tonnes,ytd_net_import_tonnes,ytd_import_value_usd,ytd_export_value_usd
1989-01,255.604467,,,59.461208,196.143259,,,255.604467,,,59.461208,196.143259,,
1989-02,375.945767,,,36.062115,339.883652,,,631.550234,,,95.523323,536.026911,,
1989-03,361.247176,,,52.377421,308.869755,,,992.79741,,,147.900744,844.896666,,
1989-04,342.84891,,,83.843913,259.004997,,,1335.64632,,,231.744657,1103.901663,,
1989-05,226.242299,,,21.522066,204.720233,,,1561.888619,,,253.266723,1308.621896,,
1989-06,166.729835,,,31.943449,134.786386,,,1728.618454,,,285.210172,1443.408282,,
1989-07,137.12434,,,63.173362,73.950978,,,1865.742794,,,348.383534,1517.35926,,
1989-08,246.323436,,,65.582063,180.741373,,,2112.06623,,,413.965597,1698.100633,,
1989-09,157.179261,,,47.049333,110.129928,,,2269.245491,,,461.01493,1808.230561,,
1989-10,407.118474,,,89.667432,317.451042,,,2676.363965,,,550.682362,2125.681603,,
1989-11,197.228074,,,99.598616,97.629458,,,2873.592039,,,650.280978,2223.311061,,
1989-12,242.399236,,,57.899324,184.499912,,,3115.991275,,,708.180302,2407.810973,,
1990-01,174.238557,,,40.224567,134.01399,,,174.238557,,,40.224567,134.01399,,
1990-02,227.535094,,,57.092861,170.442233,,,401.773651,,,97.317428,304.456223,,
1990-03,511.3192,,,108.144681,403.174519,,,913.092851,,,205.462109,707.630742,,
1990-04,256.180545,,,28.400854,227.779691,,,1169.273396,,,233.862963,935.410433,,
1990-05,194.780871,,,91.172101,103.60877,,,1364.054267,,,325.035064,1039.019203,,
1990-06,122.769975,,,104.488098,18.281877,,,1486.824242,,,429.523162,1057.30108,,
1990-07,259.045655,,,148.770777,110.274878,,,1745.869897,,,578.293939,1167.575958,,
1990-08,253.647854,,,65.148607,188.499247,,,1999.517751,,,643.442546,1356.075205,,
1990-09,163.967193,,,94.122109,69.845084,,,2163.484944,,,737.564655,1425.920289,,
1990-10,239.601679,,,73.695301,165.906378,,,2403.086623,,,811.259956,1591.826667,,
1990-11,103.945395,,,77.371274,26.574121,,,2507.032018,,,888.63123,1618.400788,,
1990-12,257.701091,,,34.289903,223.411188,,,2764.733109,,,922.921133,1841.811976,,
1991-01,215.869573,,,63.852275,152.017298,,,215.869573,,,63.852275,152.017298,,
1991-02,235.225247,,,64.563108,170.662139,,,451.09482,,,128.415383,322.679437,,
1991-03,137.947396,,,52.03036,85.917036,,,589.042216,,,180.445743,408.596473,,
1991-04,269.396343,,,101.154101,168.242242,,,858.438559,,,281.599844,576.838715,,
1991-05,150.248011,,,90.879626,59.368385,,,1008.68657,,,372.47947,636.2071,,
1991-06,234.06719,,,90.479051,143.588139,,,1242.75376,,,462.958521,779.795239,,
1991-07,280.422047,,,86.621374,193.800673,,,1523.175807,,,549.579895,973.595912,,
1991-08,211.756863,,,333.067789,-121.310926,,,1734.93267,,,882.647684,852.284986,,
1991-09,199.554174,,,174.345351,25.208823,,,1934.486844,,,1056.993035,877.493809,,
1991-10,274.587234,,,243.046858,31.540376,,,2209.074078,,,1300.039893,909.034185,,
1991-11,185.920899,,,112.445719,73.47518,,,2394.994977,,,1412.485612,982.509365,,
1991-12,291.681214,,,105.991542,185.689672,,,2686.676191,,,1518.477154,1168.199037,,
1992-01,308.012852,,,382.179125,-74.166273,,,308.012852,,,382.179125,-74.166273,,
1992-02,327.303972,,,93.711555,233.592417,,,635.316824,,,475.89068,159.426144,,
1992-03,289.324599,,,91.092712,198.231887,,,924.641423,,,566.983392,357.658031,,
1992-04,265.12336,,,117.543887,147.579473,,,1189.764783,,,684.527279,505.237504,,
1992-05,276.026772,,,107.017994,169.008778,,,1465.791555,,,791.545273,674.246282,,
1992-06,202.342352,,,39.74169,162.600662,,,1668.133907,,,831.286963,836.846944,,
1992-07,256.571664,,,90.768225,165.803439,,,1924.705571,,,922.055188,1002.650383,,
1992-08,284.830316,,,109.700482,175.129834,,,2209.535887,,,1031.75567,1177.780217,,
1992-09,222.565687,,,81.15785,141.407837,,,2432.101574,,,1112.91352,1319.188054,,
1992-10,298.883162,,,135.699868,163.183294,,,2730.984736,,,1248.613388,1482.371348,,
1992-11,237.931869,,,117.491579,120.44029,,,2968.916605,,,1366.104967,1602.811638,,
1992-12,249.435167,,,60.865134,188.570033,,,3218.351772,,,1426.970101,1791.381671,,
1993-01,207.139467,,,91.651979,115.487488,,,207.139467,,,91.651979,115.487488,,
1993-02,302.643592,,,66.798901,235.844691,,,509.783059,,,158.45088,351.332179,,
1993-03,238.851949,,,234.768604,4.083345,,,748.635008,,,393.219484,355.415524,,
1993-04,256.268172,,,154.045333,102.222839,,,1004.90318,,,547.264817,457.638363,,
1993-05,222.929563,,,116.482146,106.447417,,,1227.832743,,,663.746963,564.08578,,
1993-06,162.764165,,,79.899112,82.865053,,,1390.596908,,,743.646075,646.950833,,
1993-07,192.911104,,,69.876614,123.03449,,,1583.508012,,,813.522689,769.985323,,
1993-08,172.789613,,,87.134814,85.654799,,,1756.297625,,,900.657503,855.640122,,
1993-09,189.0673,,,56.955838,132.111462,,,1945.364925,,,957.613341,987.751584,,
1993-10,204.12637,,,164.59246,39.53391,,,2149.491295,,,1122.205801,1027.285494,,
1993-11,182.363358,,,77.009381,105.353977,,,2331.854653,,,1199.215182,1132.639471,,
1993-12,227.188211,,,114.841216,112.346995,,,2559.042864,,,1314.056398,1244.986466,,
1994-01,210.710889,,,42.567932,168.142957,,,210.710889,,,42.567932,168.142957,,
1994-02,266.459274,,,67.51449,198.944784,,,477.170163,,,110.082422,367.087741,,
1994-03,220.699724,,,90.59061,130.109114,,,697.869887,,,200.673032,497.196855,,
1994-04,242.064642,,,62.142805,179.921837,,,939.934529,,,262.815837,677.118692,,
1994-05,132.660162,,,91.614766,41.045396,,,1072.594691,,,354.430603,718.164088,,
1994-06,267.178484,,,72.017379,195.161105,,,1339.773175,,,426.447982,913.325193,,
1994-07,177.001288,,,139.80142,37.199868,,,1516.774463,,,566.249402,950.525061,,
1994-08,221.744338,,,186.855452,34.888886,,,1738.518801,,,753.104854,985.413947,,
1994-09,211.280997,,,111.301146,99.979851,,,1949.799798,,,864.406,1085.393798,,
1994-10,192.246813,,,182.472472,9.774341,,,2142.046611,,,1046.878472,1095.168139,,
1994-11,227.82798,,,96.599696,131.228284,,,2369.874591,,,1143.478168,1226.396423,,
1994-12,194.398614,,,358.930826,-164.532212,,,2564.273205,,,1502.408994,1061.864211,,
1995-01,206.999208,,,310.897712,-103.898504,,,206.999208,,,310.897712,-103.898504,,
1995-02,242.163994,,,199.134118,43.029876,,,449.163202,,,510.03183,-60.868628,,
1995-03,269.088653,,,218.745828,50.342825,,,718.251855,,,728.777658,-10.525803,,
1995-04,209.324894,,,124.376811,84.948083,,,927.576749,,,853.154469,74.42228,,
1995-05,310.349433,,,130.993195,179.356238,,,1237.926182,,,984.147664,253.778518,,
1995-06,281.529481,,,53.227859,228.301622,,,1519.455663,,,1037.375523,482.08014,,
1995-07,284.348504,,,150.564055,133.784449,,,1803.804167,,,1187.939578,615.864589,,
1995-08,299.363847,,,814.778843,-515.414996,,,2103.168014,,,2002.718421,100.449593,,
1995-09,259.119527,,,1063.547072,-804.427545,,,2362.287541,,,3066.265493,-703.977952,,
1995-10,251.359551,,,362.053093,-110.693542,,,2613.647092,,,3428.318586,-814.671494,,
1995-11,312.629119,,,131.079355,181.549764,,,2926.276211,,,3559.397941,-633.12173,,
1995-12,246.411498,,,167.414765,78.996733,,,3172.687709,,,3726.812706,-554.124997,,
1996-01,306.333109,,,123.019663,183.313446,,,306.333109,,,123.019663,183.313446,,
1996-02,263.262308,,,65.783407,197.478901,,,569.595417,,,188.80307,380.792347,,
1996-03,250.65549,,,121.912177,128.743313,,,820.250907,,,310.715247,509.53566,,
1996-04,241.1724,,,264.305709,-23.133309,,,1061.423307,,,575.020956,486.402351,,
1996-05,226.738663,,,302.792929,-76.054266,,,1288.16197,,,877.813885,410.348085,,
1996-06,215.840186,,,704.325884,-488.485698,,,1504.002156,,,1582.139769,-78.137613,,
1996-07,259.621969,,,603.49186,-343.869891,,,1763.624125,,,2185.631629,-422.007504,,
1996-08,207.736895,,,330.373201,-122.636306,,,1971.36102,,,2516.00483,-544.64381,,
1996-09,247.611419,,,342.46548,-94.854061,,,2218.972439,,,2858.47031,-639.497871,,
1996-10,244.16749,,,450.093601,-205.926111,,,2463.139929,,,3308.563911,-845.423982,,
1996-11,217.304612,,,93.453216,123.851396,,,2680.444541,,,3402.017127,-721.572586,,
1996-12,335.319043,,,132.045247,203.273796,,,3015.763584,,,3534.062374,-518.29879,,
1997-01,252.103118,,,130.825251,121.277867,,,252.103118,,,130.825251,121.277867,,
1997-02,187.257123,,,102.540555,84.716568,,,439.360241,,,233.365806,205.994435,,
1997-03,215.505268,,,54.857537,160.647731,,,654.865509,,,288.223343,366.642166,,
1997-04,264.405695,,,118.599164,145.806531,,,919.271204,,,406.822507,512.448697,,
1997-05,180.553722,,,344.749586,-164.195864,,,1099.824926,,,751.572093,348.252833,,
1997-06,241.823194,,,1025.730636,-783.907442,,,1341.64812,,,1777.302729,-435.654609,,
1997-07,205.369684,,,398.485165,-193.115481,,,1547.017804,,,2175.787894,-628.77009,,
1997-08,228.132516,,,327.52769,-99.395174,,,1775.15032,,,2503.315584,-728.165264,,
1997-09,209.323116,,,373.457939,-164.134823,,,1984.473436,,,2876.773523,-892.300087,,
1997-10,183.406374,,,184.212787,-0.806413,,,2167.87981,,,3060.98631,-893.1065,,
1997-11,235.87515,,,269.417515,-33.542365,,,2403.75496,,,3330.403825,-926.648865,,
1997-12,299.164152,,,734.041144,-434.876992,,,2702.919112,,,4064.444969,-1361.525857,,
1998-01,245.826142,,,423.546721,-177.720579,,,245.826142,,,423.546721,-177.720579,,
1998-02,361.614786,,,817.727823,-456.113037,,,607.440928,,,1241.274544,-633.833616,,
